contig_10884	CONCOCT.6
contig_10885	CONCOCT.27
contig_10887	CONCOCT.58
contig_10888	CONCOCT.51
contig_1089	CONCOCT.23
contig_10890	CONCOCT.37
contig_10891	CONCOCT.37
contig_10892	CONCOCT.50
contig_10894	CONCOCT.76
contig_10896	CONCOCT.41
contig_10897	CONCOCT.37
contig_10898	CONCOCT.17
contig_10899	CONCOCT.34
contig_10900	CONCOCT.69
contig_10901	CONCOCT.69
contig_10902	CONCOCT.69
contig_10904	CONCOCT.70
contig_10905	CONCOCT.64
contig_10906	CONCOCT.41
contig_10907	CONCOCT.64
contig_10908	CONCOCT.8
contig_10909	CONCOCT.50
contig_10912	CONCOCT.50
contig_10913	CONCOCT.9
contig_10914	CONCOCT.25
contig_10915	CONCOCT.41
contig_10916	CONCOCT.60
contig_10917	CONCOCT.3
contig_10918	CONCOCT.16
contig_10919	CONCOCT.45
contig_10922	CONCOCT.18
contig_10923	CONCOCT.18
contig_10924	CONCOCT.82
contig_10925	CONCOCT.54
contig_10926	CONCOCT.9
contig_10927	CONCOCT.47
contig_10928	CONCOCT.58
contig_10929	CONCOCT.44
contig_1093	CONCOCT.38
contig_10930	CONCOCT.70
contig_10931	CONCOCT.58
contig_10932	CONCOCT.41
contig_10934	CONCOCT.54
contig_10935	CONCOCT.3
contig_10936	CONCOCT.4
contig_10937	CONCOCT.18
contig_10939	CONCOCT.4
contig_1094	CONCOCT.64
contig_10940	CONCOCT.58
contig_10941	CONCOCT.32
contig_10942	CONCOCT.3
contig_10943	CONCOCT.41
contig_10944	CONCOCT.80
contig_10945	CONCOCT.9
contig_10946	CONCOCT.29
contig_10948	CONCOCT.62
contig_10949	CONCOCT.50
contig_1095	CONCOCT.37
contig_10950	CONCOCT.34
contig_10951	CONCOCT.4
contig_10953	CONCOCT.34
contig_10954	CONCOCT.4
contig_10955	CONCOCT.41
contig_10956	CONCOCT.50
contig_10958	CONCOCT.62
contig_10959	CONCOCT.41
contig_1096	CONCOCT.18
contig_10960	CONCOCT.27
contig_10962	CONCOCT.28
contig_10963	CONCOCT.76
contig_10964	CONCOCT.82
contig_10965	CONCOCT.54
contig_10966	CONCOCT.64
contig_10967	CONCOCT.70
contig_10968	CONCOCT.77
contig_10969	CONCOCT.18
contig_10970	CONCOCT.54
contig_10971	CONCOCT.41
contig_10973	CONCOCT.9
contig_10974	CONCOCT.8
contig_10975	CONCOCT.58
contig_10976	CONCOCT.3
contig_10977	CONCOCT.30
contig_10978	CONCOCT.29
contig_10979	CONCOCT.34
